"schemaname","tablename","tableowner","tablespace","hasindexes","hasrules","hastriggers","rowsecurity"
"public","test_store_overviews","maya","","","","",""
"pg_catalog","pg_statistic","azuresu","",1,"","",""
"pg_catalog","pg_type","azuresu","",1,"","",""
"public","dim_customer","maya","",1,"",1,""
"public","country_region","maya","","","","",""
"pg_catalog","pg_foreign_table","azuresu","",1,"","",""
"public","my_store_overviews","maya","","","","",""
"pg_catalog","pg_authid","azuresu","pg_global",1,"","",""
"public","dim_date","maya","",1,"",1,""
"pg_catalog","pg_statistic_ext_data","azuresu","",1,"","",""
"public","dim_product","maya","",1,"",1,""
"public","forview","maya","","","","",""
"public","new_store_overview","maya","","","","",""
"public","test_store_overviews_2","maya","","","","",""
"public","dim_store","maya","",1,"",1,""
"public","orders","maya","","","",1,""
"public","my_store_overviewsnew","maya","","","","",""
"pg_catalog","pg_user_mapping","azuresu","",1,"","",""
"pg_catalog","pg_subscription","azuresu","pg_global",1,"","",""
"pg_catalog","pg_attribute","azuresu","",1,"","",""
"pg_catalog","pg_proc","azuresu","",1,"","",""
"pg_catalog","pg_class","azuresu","",1,"","",""
"pg_catalog","pg_attrdef","azuresu","",1,"","",""
"pg_catalog","pg_constraint","azuresu","",1,"","",""
"pg_catalog","pg_inherits","azuresu","",1,"","",""
"pg_catalog","pg_index","azuresu","",1,"","",""
"public","test","maya","","","","",""
"pg_catalog","pg_operator","azuresu","",1,"","",""
"pg_catalog","pg_opfamily","azuresu","",1,"","",""
"pg_catalog","pg_opclass","azuresu","",1,"","",""
"pg_catalog","pg_am","azuresu","",1,"","",""
"pg_catalog","pg_amop","azuresu","",1,"","",""
"pg_catalog","pg_amproc","azuresu","",1,"","",""
"pg_catalog","pg_language","azuresu","",1,"","",""
"pg_catalog","pg_largeobject_metadata","azuresu","",1,"","",""
"pg_catalog","pg_aggregate","azuresu","",1,"","",""
"pg_catalog","pg_statistic_ext","azuresu","",1,"","",""
"pg_catalog","pg_rewrite","azuresu","",1,"","",""
"pg_catalog","pg_trigger","azuresu","",1,"","",""
"pg_catalog","pg_event_trigger","azuresu","",1,"","",""
"pg_catalog","pg_description","azuresu","",1,"","",""
"pg_catalog","pg_cast","azuresu","",1,"","",""
"pg_catalog","pg_enum","azuresu","",1,"","",""
"pg_catalog","pg_namespace","azuresu","",1,"","",""
"pg_catalog","pg_conversion","azuresu","",1,"","",""
"pg_catalog","pg_depend","azuresu","",1,"","",""
"pg_catalog","pg_database","azuresu","pg_global",1,"","",""
"pg_catalog","pg_db_role_setting","azuresu","pg_global",1,"","",""
"pg_catalog","pg_tablespace","azuresu","pg_global",1,"","",""
"pg_catalog","pg_auth_members","azuresu","pg_global",1,"","",""
"pg_catalog","pg_shdepend","azuresu","pg_global",1,"","",""
"pg_catalog","pg_shdescription","azuresu","pg_global",1,"","",""
"pg_catalog","pg_ts_config","azuresu","",1,"","",""
"pg_catalog","pg_ts_config_map","azuresu","",1,"","",""
"pg_catalog","pg_ts_dict","azuresu","",1,"","",""
"pg_catalog","pg_ts_parser","azuresu","",1,"","",""
"pg_catalog","pg_ts_template","azuresu","",1,"","",""
"pg_catalog","pg_extension","azuresu","",1,"","",""
"pg_catalog","pg_foreign_data_wrapper","azuresu","",1,"","",""
"pg_catalog","pg_foreign_server","azuresu","",1,"","",""
"pg_catalog","pg_policy","azuresu","",1,"","",""
"pg_catalog","pg_replication_origin","azuresu","pg_global",1,"","",""
"pg_catalog","pg_default_acl","azuresu","",1,"","",""
"pg_catalog","pg_init_privs","azuresu","",1,"","",""
"pg_catalog","pg_seclabel","azuresu","",1,"","",""
"pg_catalog","pg_shseclabel","azuresu","pg_global",1,"","",""
"pg_catalog","pg_collation","azuresu","",1,"","",""
"pg_catalog","pg_parameter_acl","azuresu","pg_global",1,"","",""
"pg_catalog","pg_partitioned_table","azuresu","",1,"","",""
"pg_catalog","pg_range","azuresu","",1,"","",""
"pg_catalog","pg_transform","azuresu","",1,"","",""
"pg_catalog","pg_sequence","azuresu","",1,"","",""
"pg_catalog","pg_publication","azuresu","",1,"","",""
"pg_catalog","pg_publication_namespace","azuresu","",1,"","",""
"pg_catalog","pg_publication_rel","azuresu","",1,"","",""
"pg_catalog","pg_subscription_rel","azuresu","",1,"","",""
"pg_catalog","pg_largeobject","azuresu","",1,"","",""
"information_schema","sql_features","azuresu","","","","",""
"information_schema","sql_implementation_info","azuresu","","","","",""
"information_schema","sql_parts","azuresu","","","","",""
"information_schema","sql_sizing","azuresu","","","","",""
"public","my_store_overviews_2","maya","","","","",""
"public","forquerying2","maya","","","","",""
